source_code,source_concept_id,source_vocabulary_id,source_concept_class_id,concept_name,source_code_description,target_concept_id,target_concept_name,target_vocabulary_id,target_concept_domain,valid_start_date,valid_end_date
AJ102,42360820,EDI,Proc Hierarchy,ICU Patient Care-Pediatric,"상급종합병원-4등급간호관리료적용 소아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ102100,42302768,EDI,Procedure,"ICU Patient Care-Pediatric,00:00 - 06:00 to admission","상급종합병원-4등급간호관리료적용 소아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ102200,42184808,EDI,Procedure,"ICU Patient Care-Pediatric,discharge between 18:00 - 24:00","상급종합병원-4등급간호관리료적용 소아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ103,42359747,EDI,Proc Hierarchy,ICU Patient Care,ICU Patient Care,44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ110,42360788,EDI,Proc Hierarchy,ICU Patient Care-General,"상급종합병원-1등급간호관리료적용 일반중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ110100,42303061,EDI,Procedure,"ICU Patient Care-General,00:00 - 06:00 to admission","상급종합병원-1등급간호관리료적용 일반중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ110200,42185391,EDI,Procedure,"ICU Patient Care-General,discharge between 18:00 - 24:00","상급종합병원-1등급간호관리료적용 일반중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ111,42357676,EDI,Proc Hierarchy,ICU Patient Care-Neonatal,"상급종합병원-1등급간호관리료적용 신생아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ111010,42347619,EDI,Procedure,"ICU Patient Care-Neonatal,neonatal intensive care","상급종합병원-1등급간호관리료적용 신생아중환자실입원료, 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ111020,42329145,EDI,Procedure,"ICU Patient Care-Neonatal,Neonate other than indications","상급종합병원-1등급간호관리료적용 신생아중환자실입원료, 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ111100,42302359,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission","상급종합병원-1등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ111110,42303799,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, neonatal intensive care","상급종합병원-1등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ111120,42303462,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, Neonate other than indications","상급종합병원-1등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ111200,42185102,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00","상급종합병원-1등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ111210,42185789,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, neonatal intensive care","상급종합병원-1등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ111220,42185803,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, Neonate other than indications","상급종합병원-1등급간호관리료적용 신생아중환자실입원료, 18시-24시퇴원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ112,42357673,EDI,Proc Hierarchy,ICU Patient Care-Pediatric,"상급종합병원-1등급간호관리료적용 소아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ112100,42302352,EDI,Procedure,"ICU Patient Care-Pediatric,00:00 - 06:00 to admission","상급종합병원-1등급간호관리료적용 소아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ112200,42184483,EDI,Procedure,"ICU Patient Care-Pediatric,discharge between 18:00 - 24:00","상급종합병원-1등급간호관리료적용 소아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ120,42360802,EDI,Proc Hierarchy,ICU Patient Care-General,"상급종합병원-2등급간호관리료적용 일반중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ120100,42302989,EDI,Procedure,"ICU Patient Care-General,00:00 - 06:00 to admission","상급종합병원-2등급간호관리료적용 일반중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ120200,42185449,EDI,Procedure,"ICU Patient Care-General,discharge between 18:00 - 24:00","상급종합병원-2등급간호관리료적용 일반중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ121,42360793,EDI,Proc Hierarchy,ICU Patient Care-Neonatal,"상급종합병원-2등급간호관리료적용 신생아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ121010,42347611,EDI,Procedure,"ICU Patient Care-Neonatal,neonatal intensive care","상급종합병원-2등급간호관리료적용 신생아중환자실입원료, 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ121020,42329143,EDI,Procedure,"ICU Patient Care-Neonatal,Neonate other than indications","상급종합병원-2등급간호관리료적용 신생아중환자실입원료, 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ121100,42303026,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission","상급종합병원-2등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ121110,42303797,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, neonatal intensive care","상급종합병원-2등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ121120,42303458,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, Neonate other than indications","상급종합병원-2등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ121200,42185274,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00","상급종합병원-2등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ121210,42185786,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, neonatal intensive care","상급종합병원-2등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ121220,42185801,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, Neonate other than indications","상급종합병원-2등급간호관리료적용 신생아중환자실입원료, 18시-24시퇴원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ122,42360791,EDI,Proc Hierarchy,ICU Patient Care-Pediatric,"상급종합병원-2등급간호관리료적용 소아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ122100,42302941,EDI,Procedure,"ICU Patient Care-Pediatric,00:00 - 06:00 to admission","상급종합병원-2등급간호관리료적용 소아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ122200,42185069,EDI,Procedure,"ICU Patient Care-Pediatric,discharge between 18:00 - 24:00","상급종합병원-2등급간호관리료적용 소아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ131,42360808,EDI,Proc Hierarchy,ICU Patient Care-Neonatal,"상급종합병원-3등급간호관리료적용 신생아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ131010,42347610,EDI,Procedure,"ICU Patient Care-Neonatal,neonatal intensive care","상급종합병원-3등급간호관리료적용 신생아중환자실입원료, 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ131020,42329157,EDI,Procedure,"ICU Patient Care-Neonatal,Neonate other than indications","상급종합병원-3등급간호관리료적용 신생아중환자실입원료, 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ131100,42302833,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission","상급종합병원-3등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ131110,42303803,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, neonatal intensive care","상급종합병원-3등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ131120,42303452,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, Neonate other than indications","상급종합병원-3등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ131200,42184658,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00","상급종합병원-3등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ131210,42160654,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, neonatal intensive care","상급종합병원-3등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ131220,42185806,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, Neonate other than indications","상급종합병원-3등급간호관리료적용 신생아중환자실입원료, 18시-24시퇴원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ132,42360805,EDI,Proc Hierarchy,ICU Patient Care-Pediatric,"상급종합병원-3등급간호관리료적용 소아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ132100,42302390,EDI,Procedure,"ICU Patient Care-Pediatric,00:00 - 06:00 to admission","상급종합병원-3등급간호관리료적용 소아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ132200,42184492,EDI,Procedure,"ICU Patient Care-Pediatric,discharge between 18:00 - 24:00","상급종합병원-3등급간호관리료적용 소아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ143,42360832,EDI,Proc Hierarchy,ICU Patient Care-General,"상급종합병원-4등급간호관리료적용 일반중환자실입원료-의료취약지역에 해당되지 아니하는 요양기관, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ143100,42302374,EDI,Procedure,"ICU Patient Care-General,00:00 - 06:00 to admission","상급종합병원-4등급간호관리료적용 일반중환자실입원료-의료취약지역에 해당되지 아니하는 요양기관, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ143200,42184421,EDI,Procedure,"ICU Patient Care-General,discharge between 18:00 - 24:00","상급종합병원-4등급간호관리료적용 일반중환자실입원료-의료취약지역에 해당되지 아니하는 요양기관, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ144,42360823,EDI,Proc Hierarchy,ICU Patient Care-Neonatal,"상급종합병원-4등급간호관리료적용 신생아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ144010,42347608,EDI,Procedure,"ICU Patient Care-Neonatal,neonatal intensive care","상급종합병원-4등급간호관리료적용 신생아중환자실입원료, 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ144020,42329158,EDI,Procedure,"ICU Patient Care-Neonatal,Neonate other than indications","상급종합병원-4등급간호관리료적용 신생아중환자실입원료, 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ144100,42302813,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission","상급종합병원-4등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ144110,42303794,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, neonatal intensive care","상급종합병원-4등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ144120,42303456,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, Neonate other than indications","상급종합병원-4등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ144200,42184625,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00","상급종합병원-4등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ144210,42185795,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, neonatal intensive care","상급종합병원-4등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ144220,42185810,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, Neonate other than indications","상급종합병원-4등급간호관리료적용 신생아중환자실입원료, 18시-24시퇴원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ150,42362991,EDI,Proc Hierarchy,ICU Patient Care-General,"상급종합병원-5등급간호관리료적용 일반중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ150100,42302914,EDI,Procedure,"ICU Patient Care-General,00:00 - 06:00 to admission","상급종합병원-5등급간호관리료적용 일반중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ150200,42184759,EDI,Procedure,"ICU Patient Care-General,discharge between 18:00 - 24:00","상급종합병원-5등급간호관리료적용 일반중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ152,42360835,EDI,Proc Hierarchy,ICU Patient Care-Pediatric,"상급종합병원-5등급간호관리료적용 소아중환자실입원료-의료취약지역에 해당되지 아니하는 요양기관, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ152100,42302742,EDI,Procedure,"ICU Patient Care-Pediatric,00:00 - 06:00 to admission","상급종합병원-5등급간호관리료적용 소아중환자실입원료-의료취약지역에 해당되지 아니하는 요양기관, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ152200,42184866,EDI,Procedure,"ICU Patient Care-Pediatric,discharge between 18:00 - 24:00","상급종합병원-5등급간호관리료적용 소아중환자실입원료-의료취약지역에 해당되지 아니하는 요양기관, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ161,42357730,EDI,Proc Hierarchy,ICU Patient Care-Neonatal,"상급종합병원-6등급간호관리료적용 신생아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ161010,42347612,EDI,Procedure,"ICU Patient Care-Neonatal,neonatal intensive care","상급종합병원-6등급간호관리료적용 신생아중환자실입원료, 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ161020,42329147,EDI,Procedure,"ICU Patient Care-Neonatal,Neonate other than indications","상급종합병원-6등급간호관리료적용 신생아중환자실입원료, 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ161100,42302324,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission","상급종합병원-6등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ161110,42303798,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, neonatal intensive care","상급종합병원-6등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ161120,42303466,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, Neonate other than indications","상급종합병원-6등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ161200,42185524,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00","상급종합병원-6등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ161210,42185794,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, neonatal intensive care","상급종합병원-6등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ161220,42185814,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, Neonate other than indications","상급종합병원-6등급간호관리료적용 신생아중환자실입원료, 18시-24시퇴원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ200,42364101,EDI,Proc Hierarchy,ICU Patient Care-General,"종합병원-7등급간호관리료적용 일반중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ200100,42303004,EDI,Procedure,"ICU Patient Care-General,00:00 - 06:00 to admission","종합병원-7등급간호관리료적용 일반중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ200200,42185535,EDI,Procedure,"ICU Patient Care-General,discharge between 18:00 - 24:00","종합병원-7등급간호관리료적용 일반중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ201,42363004,EDI,Proc Hierarchy,ICU Patient Care-Neonatal,"종합병원-5등급간호관리료적용 신생아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ201010,42347607,EDI,Procedure,"ICU Patient Care-Neonatal,neonatal intensive care","종합병원-5등급간호관리료적용 신생아중환자실입원료, 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ201020,42329156,EDI,Procedure,"ICU Patient Care-Neonatal,Neonate other than indications","종합병원-5등급간호관리료적용 신생아중환자실입원료, 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ201100,42303378,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission","종합병원-5등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ201110,42303801,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, neonatal intensive care","종합병원-5등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ201120,42303463,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, Neonate other than indications","종합병원-5등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ201200,42185472,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00","종합병원-5등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ201210,42160223,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, neonatal intensive care","종합병원-5등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ201220,42185809,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, Neonate other than indications","종합병원-5등급간호관리료적용 신생아중환자실입원료, 18시-24시퇴원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ202,42365622,EDI,Proc Hierarchy,ICU Patient Care-Pediatric,"종합병원-4등급간호관리료적용 소아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ202100,42302545,EDI,Procedure,"ICU Patient Care-Pediatric,00:00 - 06:00 to admission","종합병원-4등급간호관리료적용 소아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ202200,42177370,EDI,Procedure,"ICU Patient Care-Pediatric,discharge between 18:00 - 24:00","종합병원-4등급간호관리료적용 소아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ203,42359748,EDI,Proc Hierarchy,ICU Patient Care,ICU Patient Care,44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ210,42360810,EDI,Proc Hierarchy,ICU Patient Care-General,"종합병원-1등급간호관리료적용 일반중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ210100,42302547,EDI,Procedure,"ICU Patient Care-General,00:00 - 06:00 to admission","종합병원-1등급간호관리료적용 일반중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ210200,42184609,EDI,Procedure,"ICU Patient Care-General,discharge between 18:00 - 24:00","종합병원-1등급간호관리료적용 일반중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ211,42360801,EDI,Proc Hierarchy,ICU Patient Care-Neonatal,"종합병원-1등급간호관리료적용 신생아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ211010,42347615,EDI,Procedure,"ICU Patient Care-Neonatal,neonatal intensive care","종합병원-1등급간호관리료적용 신생아중환자실입원료, 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ211020,42329153,EDI,Procedure,"ICU Patient Care-Neonatal,Neonate other than indications","종합병원-1등급간호관리료적용 신생아중환자실입원료, 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ211100,42302427,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission","종합병원-1등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ211110,42303805,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, neonatal intensive care","종합병원-1등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ211120,42303457,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, Neonate other than indications","종합병원-1등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ211200,42184612,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00","종합병원-1등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ211210,42185792,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, neonatal intensive care","종합병원-1등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ211220,42185807,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, Neonate other than indications","종합병원-1등급간호관리료적용 신생아중환자실입원료, 18시-24시퇴원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
